ID,Phase,Area,Task,Acceptance Criteria,Priority,Status,Owner,Estimate Days,Target Day,Dependencies,Notes,Last Updated
PB-001,Phase 1 Foundation,Infra,Create repository structure,"Create backend, frontend, docs, scripts, templates folders exactly as required.",P0,Not Started,Dev,0.5,Day 1,,,
PB-002,Phase 1 Foundation,Backend,Create FastAPI app skeleton,"App starts, exposes /api/v1/health, includes router layout and CORS.",P0,Not Started,Dev,0.5,Day 1,PB-001,,
PB-003,Phase 1 Foundation,Frontend,Create React Vite TypeScript app,"App boots locally, Tailwind configured, routes initialized.",P0,Not Started,Dev,0.5,Day 1,PB-001,,
PB-004,Phase 1 Foundation,Infra,Add Docker Compose baseline,"MongoDB, Qdrant, backend, and frontend services defined.",P0,Not Started,Dev,0.5,Day 1,"PB-002, PB-003",,
PB-005,Phase 1 Foundation,Infra,Add Makefile commands,make setup/dev/docker-up/docker-down/test/logs commands documented and working.,P0,Not Started,Dev,0.3,Day 1,PB-004,,
PB-006,Phase 1 Foundation,Docs,Create first README,"README explains project, stack, one-command startup, folder structure.",P1,Not Started,Dev,0.3,Day 1,PB-001,,
PB-007,Phase 2 Config,Backend,Create Pydantic settings,"All env vars loaded, typed, validated, and accessible via dependency.",P0,Not Started,Dev,0.5,Day 1,PB-002,,
PB-008,Phase 2 Config,Backend,Create config API,GET/PATCH config endpoints support non-secret runtime settings.,P1,Not Started,Dev,0.4,Day 2,PB-007,,
PB-009,Phase 2 Config,Frontend,Settings page skeleton,"Settings page displays active LLM provider, vector DB, chunk size, top-k.",P1,Not Started,Dev,0.5,Day 2,"PB-003, PB-008",,
PB-010,Phase 3 MongoDB,MongoDB,Create async Mongo client,"Motor client initialized, health check works, clean shutdown implemented.",P0,Not Started,Dev,0.5,Day 2,PB-007,,
PB-011,Phase 3 MongoDB,MongoDB,Create repository base class,Reusable async CRUD helpers and collection access pattern.,P1,Not Started,Dev,0.4,Day 2,PB-010,,
PB-012,Phase 3 MongoDB,MongoDB,Create core repositories,"Sources, documents, chunks, jobs, traces, evaluation, config repos exist.",P0,Not Started,Dev,1.0,Day 2,PB-011,,
PB-013,Phase 3 MongoDB,MongoDB,Create Mongo indexes,"Indexes for source_id, document_id, hash, modified_at, job_id, trace_id.",P0,Not Started,Dev,0.4,Day 2,PB-012,,
PB-014,Phase 4 Vector DB,Vector DB,Create BaseVectorStore interface,"Abstract async methods for ensure_collection, upsert, search, delete.",P0,Not Started,Dev,0.4,Day 3,PB-007,,
PB-015,Phase 4 Vector DB,Vector DB,Implement QdrantVectorStore,"Qdrant collection auto-created, upsert/search/delete work.",P0,Not Started,Dev,1.0,Day 3,PB-014,,
